player_id,match-format,matches,innings,notouts,runs,hi_score,average,balls_faced,strike_rate,hundreds,fifties,fours,sixes,catches,stumps
21585,Tests,76,143,10,5825,219,43.79,10685,54.51,14,29,831,42,95,0
21585,ODI,123,122,6,4335,137,37.37,5087,85.21,12,21,528,41,49,0
21585,,3,3,0,166,72,55.33,131,126.71,0,2,23,1,2,0
21585,First-Class,391,675,36,26234,284,41.05,,,66,127,,,560,0
21585,List A,372,357,29,12229,184,37.28,,,28,63,,,149,0
21585,T20,89,87,5,2363,108*,28.81,1569,150.6,2,17,304,80,29,0
914623,First-Class,27,41,8,992,88,30.06,2268,43.73,0,7,113,3,10,0
914623,List A,32,26,4,507,76*,23.04,547,92.68,0,3,40,10,7,0
914623,T20,68,45,19,379,31*,14.57,303,125.08,0,0,23,16,41,0
21593,Tests,5,9,3,228,85*,38,,,0,2,,1,4,0
21593,First-Class,375,602,53,10696,164,19.48,,,8,44,,,452,0
47623,Tests,52,93,6,3835,226,44.08,8128,47.18,9,19,451,0,29,0
47623,ODI,68,65,10,2819,137,51.25,3658,77.06,4,22,216,3,14,0
47623,,7,7,1,138,51,23,144,95.83,0,1,9,3,0,0
47623,First-Class,281,468,47,18662,226,44.32,,,46,92,,,223,0
47623,List A,274,253,44,10056,137,48.11,,,23,67,,,77,0
47623,T20,81,76,16,2147,86*,35.78,1870,114.81,0,13,219,34,18,0
21598,ODI,6,5,1,36,20,9,76,47.36,0,0,5,0,1,0
21598,First-Class,167,259,21,8491,223,35.67,17463,48.62,19,44,,,88,0
21598,List A,169,151,16,3654,115*,27.06,,,2,21,,,64,0
21598,T20,88,81,9,1740,68*,24.16,1420,122.53,0,10,164,43,36,0
21600,Tests,67,85,14,981,39*,13.81,,,0,0,,25,64,0
21600,First-Class,603,713,120,9231,104,15.56,,,3,26,,,439,0
21600,List A,18,14,2,156,28,13,,,0,0,,,5,0
21601,First-Class,107,121,41,991,48,12.38,,,0,0,,,76,0
21601,List A,122,43,19,177,19,7.37,,,0,0,,,46,0
21525,First-Class,2,3,2,19,14,19,,,0,0,,,1,0
21607,Tests,10,16,4,229,99*,19.08,513,44.63,0,1,39,0,3,0
21607,ODI,3,2,1,9,6,9,11,81.81,0,0,0,0,1,0
21607,First-Class,129,169,34,2960,144,21.92,,,2,9,,,36,0
21607,List A,82,55,16,470,56,12.05,,,0,1,,,23,0
21609,Tests,1,1,0,14,14,14,,,0,0,,0,0,1
21609,First-Class,70,120,14,1514,102,14.28,,,1,4,,,59,40
21611,Tests,42,59,29,153,22*,5.1,690,22.17,0,0,13,0,12,0
21611,ODI,20,10,9,15,5*,15,31,48.38,0,0,0,0,4,0
21611,First-Class,316,349,136,2066,67*,9.69,,,0,1,,,106,0
21611,List A,93,36,22,125,18,8.92,,,0,0,,,17,0
21614,Tests,9,13,2,224,61,20.36,,,0,1,,2,1,0
21614,First-Class,388,626,37,17544,233,29.78,,,29,82,,,280,0
53863,,4,4,1,17,9,5.66,,,0,0,,,1,0
22135,First-Class,30,36,15,330,57,15.71,572,57.69,0,1,,,11,0
22135,List A,42,16,8,71,15*,8.87,113,62.83,0,0,3,1,10,0
22135,T20,55,16,6,32,11*,3.2,52,61.53,0,0,1,1,14,0
757251,First-Class,7,13,2,145,35,13.18,393,36.89,0,0,19,0,3,0
757251,List A,1,1,0,1,1,1,2,50,0,0,0,0,1,0
21634,Tests,14,20,2,990,122,55,,,3,6,,2,2,0
21634,First-Class,648,961,106,38874,256*,45.46,,,102,191,,,296,0
21636,Tests,31,55,1,1661,138,30.75,,,4,9,,3,16,0
21636,First-Class,608,994,62,37897,295*,40.66,,,86,193,,,359,0
21637,Tests,7,7,1,47,29,7.83,,,0,0,,1,1,0
21637,First-Class,397,464,54,6419,105,15.65,,,1,15,,,334,0
21639,Tests,6,9,1,152,66,19,,,0,1,,0,5,5
21639,First-Class,93,158,10,3065,107,20.7,,,3,10,,,127,58
21641,Tests,1,1,0,0,0,0,,,0,0,0,0,0,0
21641,First-Class,185,310,52,2952,66,11.44,,,0,6,,,118,0
21644,Tests,17,24,3,230,37*,10.95,,,0,0,14,2,4,0
21644,First-Class,244,316,76,4103,82,17.09,,,0,13,,,85,0
22144,Tests,4,7,1,109,33*,18.16,214,50.93,0,0,14,1,1,0
22144,ODI,11,7,4,35,11*,11.66,46,76.08,0,0,1,0,1,0
22144,First-Class,301,430,79,7931,117*,22.59,,,1,34,,,127,0
22144,List A,410,264,82,2966,79*,16.29,,,0,9,,,136,0
22144,T20,60,39,15,382,40*,15.91,314,121.65,0,0,29,14,16,0
22146,Tests,25,39,0,949,149,24.33,,,1,7,,5,19,0
22146,First-Class,537,928,40,20823,199*,23.44,,,18,101,,,368,0
22149,Tests,86,116,35,937,45*,11.56,,,0,0,,0,44,0
22149,ODI,26,13,4,53,17,5.88,133,39.84,0,0,5,0,6,0
22149,First-Class,676,710,200,5165,111,10.12,,,1,2,,,261,0
22149,List A,411,197,81,815,28,7.02,,,0,0,,,108,0
22173,Tests,7,9,2,454,136,64.85,,,2,1,,3,2,0
22173,First-Class,399,645,38,18306,242,30.15,,,35,90,,,289,0
53864,,1,1,0,0,0,0,,,0,0,,,0,0
22182,Tests,82,147,9,5719,197,41.44,11184,51.13,18,18,742,22,44,0
22182,ODI,86,83,10,1982,90*,27.15,2898,68.39,0,16,204,13,25,0
22182,,2,2,0,27,27,13.5,22,122.72,0,0,4,0,0,0
22182,First-Class,268,468,27,16295,197,36.95,,,42,68,,,118,0
22182,List A,282,273,25,7238,125*,29.18,,,3,46,,,88,0
22182,T20,18,18,1,319,41*,18.76,284,112.32,0,0,31,5,2,0
524812,First-Class,11,16,1,351,58,23.4,635,55.27,0,1,52,1,3,0
524812,List A,10,6,0,79,27,13.16,79,100,0,0,11,1,6,0
524812,T20,16,14,0,172,34,12.28,154,111.68,0,0,22,4,2,0
22185,Tests,40,44,12,669,66*,20.9,,,0,3,,0,30,0
22185,First-Class,378,416,106,5603,101,18.07,,,1,13,,,269,0
22186,Tests,1,2,1,14,11*,14,,,0,0,0,0,0,0
22186,First-Class,239,391,21,7070,160,19.1,,,4,28,,,171,0
53865,,5,4,2,23,16*,11.5,,,0,0,,,4,0
874173,,17,4,2,13,9*,6.5,12,108.33,0,0,1,0,9,0
296597,Tests,13,22,0,548,83,24.9,1100,49.81,0,3,86,0,8,0
296597,ODI,25,22,0,616,102,28,703,87.62,1,3,76,3,10,0
296597,,17,17,0,463,59,27.23,361,128.25,0,2,47,14,7,0
296597,First-Class,200,331,25,12052,240,39.38,19408,62.09,28,50,1800,55,183,0
296597,List A,148,138,7,5199,190,39.68,5348,97.21,10,25,604,40,57,0
296597,T20,350,339,37,9637,129*,31.91,7082,136.07,5,59,1069,252,185,0
22189,Tests,2,3,2,46,36,46,216,21.29,0,0,5,0,0,0
22189,First-Class,547,920,79,25171,202,29.92,,,34,142,,,240,0
1037701,First-Class,41,50,26,229,47,9.54,524,43.7,0,0,37,2,10,0
1037701,List A,10,8,2,31,8,5.16,61,50.81,0,0,2,0,1,0
22192,Tests,27,38,15,308,66,13.39,,,0,1,,8,15,0
22192,First-Class,426,525,130,7590,129,19.21,,,4,26,,,288,0
22251,Tests,2,4,0,16,7,4,55,29.09,0,0,1,0,1,0
22251,First-Class,266,265,69,2527,114,12.89,,,1,4,,,232,0
22559,First-Class,164,246,26,5904,200,26.83,9206,64.13,5,33,,,54,0
22559,List A,140,116,15,2060,68,20.39,,,0,5,,,45,0
22559,T20,144,107,32,1359,62,18.12,1099,123.65,0,4,105,43,38,0
22256,First-Class,212,350,29,12455,315,38.8,,,31,58,,,91,0
22256,List A,114,110,9,2751,102*,27.23,,,1,21,,,21,0
22256,T20,18,15,0,288,56,19.2,251,114.74,0,1,34,5,5,0
22258,Tests,5,9,0,132,49,14.66,,,0,0,,0,2,0
22258,First-Class,391,607,32,12513,228,21.76,,,19,48,,,353,0
53866,,2,1,1,6,6*,,,,0,0,,,1,0
53866,,2,1,1,2,2*,,,,0,0,,,0,0
23506,First-Class,148,236,16,6880,123,31.27,14336,47.99,9,37,878,48,98,0
23506,List A,90,85,8,2532,109*,32.88,2942,86.06,2,18,214,35,32,0
23506,T20,133,124,25,2597,64,26.23,2207,117.67,0,14,208,52,42,0
53888,,3,2,1,14,7*,14,,,0,0,,,1,0
22274,First-Class,223,377,39,12197,275*,36.08,,,28,51,,,155,0
22274,List A,285,255,40,6269,117,29.15,,,3,37,,,75,0
22274,T20,82,75,11,1397,74*,21.82,1203,116.12,0,4,135,31,10,0
22276,Tests,3,4,0,128,52,32,,,0,1,,2,5,0
22276,First-Class,469,788,110,17650,152*,26.03,,,13,92,,,697,0
22276,List A,72,68,7,1218,79,19.96,,,0,4,,,32,0
1046777,First-Class,3,6,1,103,64,20.6,212,48.58,0,1,12,0,1,0
1046777,List A,10,7,3,71,23,17.75,109,65.13,0,0,4,3,3,0
1046777,T20,14,9,3,29,19*,4.83,35,82.85,0,0,2,1,3,0
22280,First-Class,264,422,36,11159,139,28.9,,,15,55,,,707,56
22280,List A,205,166,32,2736,118*,20.41,,,2,7,,,184,45
22280,T20,136,106,23,1534,69*,18.48,1253,122.42,0,2,159,26,53,30
22283,Tests,11,18,3,784,102,52.26,,,1,7,,0,6,0
22283,First-Class,245,427,32,12145,226,30.74,,,21,55,,,102,0
22285,First-Class,25,37,3,808,71,23.76,,,0,8,,,11,0
22285,List A,94,82,14,1498,72,22.02,,,0,7,,,26,0
22292,Tests,5,6,1,40,21,8,93,43.01,0,0,7,0,3,0
22292,First-Class,163,157,47,928,44,8.43,,,0,0,,,51,0
22292,List A,118,60,19,259,21*,6.31,,,0,0,,,23,0
22290,Tests,7,13,0,487,117,37.46,,,1,3,,1,1,0
22290,First-Class,385,642,51,17783,219,30.08,,,29,87,,,169,0
901657,First-Class,3,6,0,30,19,5,126,23.8,0,0,4,0,2,0
901657,List A,12,12,0,215,37,17.91,230,93.47,0,0,36,4,2,0
901657,T20,25,25,4,442,54,21.04,331,133.53,0,2,38,19,11,0
