player_id,match_format,matches,innings,balls,runs,wickets,best_bowling_innings,best_bowling_match,average,economy,strike_rate,four_wicket_hauls,five_wicket_hauls,ten_wicket_hauls
29641,First-Class,2,,0,0,0,-,-,,,,0,0,0
29835,First-Class,3,,198,69,1,1/22,,69,2.09,198,,0,0
29646,Tests,31,1,66,18,2,2/18,2/18,9,1.63,33,0,0,0
29646,ODI,2,0,0,0,0,-,-,,,,0,0,0
29646,First-Class,260,,138,74,2,2/18,,37,3.21,69,,0,0
29646,List A,118,,0,0,0,-,-,,,,0,0,0
29646,T20,23,0,0,0,0,-,-,,,,0,0,0
29654,Tests,4,6,606,255,4,4/60,4/86,63.75,2.52,151.5,1,0,0
29654,First-Class,111,,22607,8314,328,8/33,,25.34,2.2,68.9,,12,2
29667,Tests,1,0,0,0,0,-,-,,,,0,0,0
29667,First-Class,67,,210,134,3,1/6,,44.66,3.82,70,,0,0
53915,,8,0,0,0,0,-,-,,,,0,0,0
53915,,65,0,0,0,0,-,-,,,,0,0,0
26507,First-Class,16,19,836,509,6,4/43,4/56,84.83,3.65,139.3,1,0,0
26507,List A,3,2,42,39,0,-,-,,5.57,,0,0,0
26507,T20,1,0,0,0,0,-,-,,,,0,0,0
29656,First-Class,36,,774,341,11,2/1,,31,2.64,70.3,,0,0
29656,List A,26,,521,441,11,3/12,3/12,40.09,5.07,47.3,0,0,0
29656,T20,5,0,0,0,0,-,-,,,,0,0,0
54171,,5,0,0,0,0,-,-,,,,0,0,0
54171,,44,0,0,0,0,-,-,,,,0,0,0
54171,,9,0,0,0,0,-,-,,,,0,0,0
29663,Tests,39,51,2097,829,9,2/54,2/54,92.11,2.37,233,0,0,0
29663,First-Class,245,,27771,12873,431,7/45,,29.86,2.78,64.4,,18,3
29663,List A,4,,106,83,5,3/45,3/45,16.6,4.69,21.2,0,0,0
1151278,Tests,2,0,0,0,0,-,-,,,,0,0,0
1151278,,5,1,6,11,0,-,-,,11,,0,0,0
1151278,First-Class,17,3,48,28,0,-,-,,3.5,,0,0,0
1151278,List A,32,13,285,257,7,2/31,2/31,36.71,5.41,40.7,0,0,0
1151278,T20,62,4,19,41,0,-,-,,12.94,,0,0,0
29674,Tests,1,1,210,137,3,3/137,3/137,45.66,3.91,70,0,0,0
29674,First-Class,29,,5833,2965,134,7/61,,22.12,3.04,43.5,,10,3
1070187,List A,24,24,1254,1028,33,4/25,4/25,31.15,4.91,38,1,0,0
1070187,T20,22,22,482,491,14,2/11,2/11,35.07,6.11,34.4,0,0,0
1151275,First-Class,2,2,204,114,2,2/83,2/83,57,3.35,102,0,0,0
1151275,List A,2,2,78,54,1,1/22,1/22,54,4.15,78,0,0,0
1151275,T20,3,3,60,81,2,1/21,1/21,40.5,8.1,30,0,0,0
29810,First-Class,16,,2028,1309,33,6/97,,39.66,3.87,61.4,,2,0
29810,List A,2,,78,51,1,1/20,1/20,51,3.92,78,0,0,0
652359,First-Class,33,55,4617,2573,72,5/50,5/90,35.73,3.34,64.1,3,2,0
652359,List A,43,43,2098,1750,70,6/33,6/33,25,5,29.9,2,1,0
652359,T20,54,53,1052,1323,74,5/18,5/18,17.87,7.54,14.2,7,1,0
29830,First-Class,7,,623,351,10,3/75,,35.1,3.38,62.3,,0,0
29830,List A,14,,307,220,1,1/32,1/32,220,4.29,307,0,0,0
398515,First-Class,7,9,630,220,3,2/47,2/47,73.33,2.09,210,0,0,0
