id,long_name,gender,image_url,headshot_image_url,dob,dod,country_team_id
1026431,Finlay Trenouth,M,/db/PICTURES/CMS/271800/271835.jpg,,1998-09-22 00:00:00,,1
21585,Marcus Trescothick,M,/db/PICTURES/CMS/304900/304970.jpg,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/319800/319800.png,1975-12-25 00:00:00,,1
914623,Liam Trevaskis,M,/db/PICTURES/CMS/302400/302419.1.jpg,,1999-04-18 00:00:00,,1
21593,Albert Trott,M,/db/PICTURES/CMS/67500/67566.1.jpg,,1873-02-06 00:00:00,1914-07-30 00:00:00,1
47623,Jonathan Trott,M,/db/PICTURES/CMS/305000/305014.jpg,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/319700/319793.png,1981-04-22 00:00:00,,1
21598,Jim Troughton,M,/db/PICTURES/CMS/304900/304988.jpg,,1979-03-02 00:00:00,,1
21600,Fred Trueman,M,/db/PICTURES/CMS/156200/156257.4.jpg,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/329800/329853.png,1931-02-06 00:00:00,2006-07-01 00:00:00,1
21601,Harvey Trump,M,,,1968-10-11 00:00:00,,1
21525,Joseph Tucker,M,/db/PICTURES/DB/012002/033372.player.jpg,,1979-09-14 00:00:00,,1
21607,Alex Tudor,M,/db/PICTURES/CMS/304300/304361.jpg,,1977-10-23 00:00:00,,1
21609,Neville Tufnell,M,,,1887-06-13 00:00:00,1951-08-03 00:00:00,1
21611,Phil Tufnell,M,/db/PICTURES/CMS/304400/304408.jpg,,1966-04-29 00:00:00,,1
21614,Maurice Turnbull,M,/db/PICTURES/CMS/76100/76119.1.jpg,,1906-03-16 00:00:00,1944-08-05 00:00:00,1
53863,Doris Turner,F,,,1908-03-03 00:00:00,,1
22135,Mark Turner,M,/db/PICTURES/CMS/131400/131405.1.jpg,,1984-10-23 00:00:00,,1
757251,Ben Twohig,M,,,1998-04-13 00:00:00,,1
21634,Ernest Tyldesley,M,/db/PICTURES/DB/062004/053045.player.jpg,,1889-02-05 00:00:00,1962-05-05 00:00:00,1
21636,Johnny Tyldesley,M,/db/PICTURES/CMS/97900/97984.1.jpg,,1873-11-22 00:00:00,1930-11-27 00:00:00,1
21637,Dick Tyldesley,M,,,1897-03-11 00:00:00,1943-09-17 00:00:00,1
21639,Edmund Tylecote,M,/db/PICTURES/DB/092004/054751.player.jpg,,1849-06-23 00:00:00,1938-03-15 00:00:00,1
21641,Ted Tyler,M,,,1864-10-13 00:00:00,1917-01-25 00:00:00,1
21644,Frank Tyson,M,/db/PICTURES/CMS/304600/304622.jpg,,1930-06-06 00:00:00,2015-09-27 00:00:00,1
22144,Shaun Udal,M,/db/PICTURES/CMS/304300/304348.jpg,,1969-03-18 00:00:00,,1
22146,George Ulyett,M,/db/PICTURES/CMS/97900/97951.1.jpg,,1851-10-21 00:00:00,1898-06-18 00:00:00,1
22149,Derek Underwood,M,/db/PICTURES/CMS/326500/326504.4.jpg,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/327500/327553.png,1945-06-08 00:00:00,,1
22173,Bryan Valentine,M,,,1908-01-17 00:00:00,1983-02-02 00:00:00,1
53864,Carol Valentine,F,/db/PICTURES/CMS/85200/85234.1.jpg,,1906-11-26 00:00:00,,1
22182,Michael Vaughan,M,/db/PICTURES/CMS/303900/303980.jpg,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/319800/319804.png,1974-10-29 00:00:00,,1
524812,Kishen Velani,M,/db/PICTURES/CMS/157100/157194.1.jpg,,1994-09-02 00:00:00,,1
