player_id,match-format,matches,innings,notouts,runs,hi_score,average,balls_faced,strike_rate,hundreds,fifties,fours,sixes,catches,stumps
1076533,First-Class,11,18,3,561,115*,37.4,1246,45.02,1,2,83,3,16,1
1076533,List A,3,2,0,15,15,7.5,36,41.66,0,0,1,0,5,0
1076533,T20,2,2,0,0,0,0,3,0,0,0,0,0,2,1
1059030,Tests,2,4,0,22,17,5.5,32,68.75,0,0,3,0,4,0
1059030,First-Class,36,65,2,2776,220,44.06,4385,63.3,7,12,331,15,35,0
1059030,List A,24,24,5,798,137,42,1036,77.02,2,5,90,8,10,0
1059030,T20,2,2,0,17,11,8.5,22,77.27,0,0,2,0,0,0
524045,First-Class,1,2,2,5,5*,,19,26.31,0,0,1,0,1,0
524045,List A,1,1,1,6,6*,,7,85.71,0,0,1,0,0,0
819507,ODI,3,3,1,10,4*,5,37,27.02,0,0,0,0,0,0
819507,First-Class,11,16,1,232,61*,15.46,507,45.75,0,1,27,4,9,0
819507,List A,14,12,5,238,64,34,274,86.86,0,2,17,12,2,0
819507,T20,17,9,6,85,31*,28.33,56,151.78,0,0,5,6,8,0
974173,Tests,1,2,0,12,9,6,70,17.14,0,0,1,0,0,0
974173,First-Class,21,33,5,1034,142,36.92,1649,62.7,1,7,127,10,6,0
974173,List A,20,10,3,132,52*,18.85,149,88.59,0,1,11,4,5,0
974173,T20,12,11,5,139,36*,23.16,173,80.34,0,0,8,2,0,0
533954,First-Class,17,25,6,138,31,7.26,308,44.8,0,0,21,1,4,0
533954,List A,18,10,3,29,7*,4.14,50,57.99,0,0,2,2,4,0
533954,T20,14,8,4,40,12,10,31,129.03,0,0,5,1,0,0
390752,ODI,2,1,0,3,3,3,16,18.75,0,0,0,0,1,0
390752,First-Class,21,34,2,305,63,9.53,537,56.79,0,1,34,12,6,0
390752,List A,16,12,2,125,58,12.5,190,65.78,0,1,5,9,5,0
390752,T20,13,2,1,11,11*,11,4,275,0,0,1,1,3,0
1176739,First-Class,8,13,2,239,77*,21.72,291,82.13,0,2,36,5,8,0
1176739,List A,9,8,1,86,30,12.28,103,83.49,0,0,7,2,0,0
1161047,First-Class,4,7,0,84,43,12,230,36.52,0,0,8,2,0,0
1161047,List A,5,5,1,270,116,67.5,299,90.3,2,0,24,6,2,0
1161047,T20,4,4,0,109,44,27.25,80,136.25,0,0,7,7,1,0
1176740,First-Class,6,12,1,149,43,13.54,273,54.57,0,0,20,1,2,0
1176740,List A,6,5,2,125,34,41.66,94,132.97,0,0,10,6,1,0
1176740,T20,7,7,3,65,30*,16.25,43,151.16,0,0,9,2,2,0
420402,Tests,6,10,1,214,48*,23.77,464,46.12,0,0,23,2,11,1
420402,ODI,17,16,1,264,60,17.6,488,54.09,0,2,15,0,20,2
420402,T20I,5,5,0,112,48,22.4,128,87.5,0,0,7,3,0,2
420402,First-Class,38,57,6,1655,124,32.45,3179,52.06,2,10,208,13,90,11
420402,List A,60,56,4,1206,75,23.19,1887,63.91,0,7,89,11,55,15
420402,T20,32,30,9,613,67*,29.19,584,104.96,0,2,54,14,14,8
440963,ODI,27,17,10,80,16*,11.42,107,74.76,0,0,9,3,6,0
440963,T20I,12,5,3,2,1*,1,9,22.22,0,0,0,0,3,0
440963,First-Class,15,23,0,297,47,12.91,309,96.11,0,0,32,12,9,0
440963,List A,55,37,16,229,33,10.9,246,93.08,0,0,17,13,13,0
440963,T20,43,22,8,83,23*,5.92,83,100,0,0,9,3,12,0
976411,First-Class,12,23,3,312,79,15.6,828,37.68,0,2,40,0,16,3
976411,List A,7,6,0,63,18,10.5,128,49.21,0,0,4,1,10,0
318337,ODI,1,1,0,2,2,2,10,20,0,0,0,0,0,0
318337,First-Class,2,4,0,82,40,20.5,228,35.96,0,0,14,0,1,0
318337,List A,1,1,0,2,2,2,10,20,0,0,0,0,0,0
1364158,List A,2,2,0,26,24,13,78,33.33,0,0,1,0,0,0
1108510,First-Class,1,2,0,26,17,13,30,86.66,0,0,3,1,1,0
1108510,List A,7,7,1,105,50,17.5,139,75.53,0,1,10,4,5,0
1076577,First-Class,6,11,0,187,58,17,482,38.79,0,2,14,2,7,0
1076577,List A,1,1,1,2,2*,,3,66.66,0,0,0,0,0,0
1076577,T20,6,4,1,73,30,24.33,69,105.79,0,0,3,4,2,0
402245,Tests,4,6,2,83,34,20.75,214,38.78,0,0,11,1,2,0
402245,ODI,31,16,9,23,7,3.28,94,24.46,0,0,0,1,10,0
402245,T20I,33,9,5,40,21,10,38,105.26,0,0,3,1,1,0
402245,First-Class,27,38,3,396,48,11.31,963,41.12,0,0,44,11,17,0
402245,List A,67,37,12,181,28*,7.24,364,49.72,0,0,14,5,16,0
402245,T20,72,29,16,135,21,10.38,140,96.42,0,0,7,5,11,0
974007,First-Class,12,21,1,453,144,22.65,812,55.78,1,0,56,9,10,0
974007,List A,9,9,2,163,74,23.28,214,76.16,0,1,17,3,3,0
974007,T20,3,1,0,12,12,12,6,200,0,0,1,1,0,0
320652,Tests,6,10,0,440,164,44,771,57.06,1,3,37,11,2,0
320652,ODI,114,108,10,2424,101,24.73,3630,66.77,1,12,163,65,24,0
320652,T20I,75,68,5,1382,62,21.93,1247,110.82,0,4,87,69,20,0
320652,First-Class,29,44,2,1861,164,44.3,3089,60.24,6,6,173,48,17,0
320652,List A,147,140,10,3007,101,23.13,4656,64.58,1,14,207,75,29,0
320652,T20,122,114,14,2751,95*,27.51,2261,121.67,0,13,169,157,34,0
819429,ODI,13,8,2,137,56,22.83,177,77.4,0,1,13,4,2,0
819429,T20I,24,14,3,185,33,16.81,165,112.12,0,0,13,8,8,0
819429,First-Class,5,6,3,149,40*,49.66,262,56.87,0,0,21,3,1,0
819429,List A,45,33,10,853,79,37.08,799,106.75,0,5,59,39,17,0
819429,T20,62,40,14,588,62*,22.61,454,129.51,0,1,41,29,19,0
976571,Tests,1,1,0,7,7,7,13,53.84,0,0,1,0,0,0
976571,First-Class,39,65,14,3220,303*,63.13,5897,54.6,10,14,416,13,29,1
976571,List A,26,24,3,815,104,38.8,994,81.99,2,5,77,8,11,0
976571,T20,8,8,0,157,37,19.62,157,100,0,0,11,3,5,0
1076553,List A,2,2,0,76,60,38,114,66.66,0,1,8,1,1,0
1082531,First-Class,5,9,0,191,94,21.22,354,53.95,0,1,23,0,1,0
1082531,List A,2,2,1,26,26,26,39,66.66,0,0,4,0,0,0
1174726,First-Class,8,15,2,63,15,4.84,123,51.21,0,0,7,2,2,0
1174726,List A,3,1,1,0,0*,,0,,0,0,0,0,0,0
1174726,T20,5,1,1,1,1*,,1,100,0,0,0,0,0,0
819441,T20I,5,5,2,49,15,16.33,56,87.5,0,0,3,1,0,0
819441,First-Class,21,34,4,1918,249,63.93,2508,76.47,6,7,212,34,21,0
819441,List A,40,36,4,1320,130*,41.25,1538,85.82,3,12,104,41,12,0
819441,T20,40,37,8,836,78,28.82,631,132.48,0,7,61,43,17,3
25917,ODI,3,0,0,0,-,,0,,0,0,0,0,0,0
25917,T20I,2,1,1,2,2*,,3,66.66,0,0,0,0,0,0
25917,First-Class,2,2,1,13,7*,13,115,11.3,0,0,0,0,0,0
25917,List A,9,5,4,34,11*,34,60,56.66,0,0,1,0,0,0
25917,T20,2,1,1,2,2*,,3,66.66,0,0,0,0,0,0
516561,ODI,82,56,27,513,47*,17.68,664,77.25,0,0,40,21,16,0
516561,T20I,34,17,8,68,13,7.55,42,161.9,0,0,4,6,7,0
516561,First-Class,16,20,3,199,50,11.7,427,46.6,0,1,20,4,9,0
516561,List A,98,69,33,556,47*,15.44,730,76.16,0,0,44,23,19,0
516561,T20,68,38,19,212,27*,11.15,142,149.29,0,0,17,11,20,0
1276923,First-Class,3,6,0,71,48,11.83,167,42.51,0,0,8,1,0,0
568136,ODI,15,6,4,37,17,18.5,62,59.67,0,0,1,1,3,0
568136,T20I,25,4,3,32,24*,32,33,96.96,0,0,5,0,5,0
568136,First-Class,20,29,3,523,68,20.11,636,82.23,0,1,61,20,10,0
568136,List A,41,25,9,261,41*,16.31,312,83.65,0,0,15,13,16,0
568136,T20,58,16,8,74,24*,9.25,77,96.1,0,0,9,1,11,0
1304690,First-Class,1,2,0,6,5,3,15,40,0,0,0,0,1,0
914151,First-Class,18,31,2,1144,167*,39.44,1835,62.34,3,8,157,7,11,0
914151,List A,14,14,0,356,73,25.42,484,73.55,0,3,39,5,4,0
914151,T20,10,9,0,170,52,18.88,140,121.42,0,1,22,7,1,0
1304730,List A,2,2,0,11,11,5.5,14,78.57,0,0,2,0,0,0
1304730,T20,2,1,1,0,0*,,3,0,0,0,0,0,1,0
533949,T20I,1,1,0,12,12,12,15,80,0,0,1,0,0,0
533949,First-Class,26,44,9,1487,132,42.48,2357,63.08,4,4,155,39,4,0
533949,List A,18,14,3,250,50,22.72,263,95.05,0,1,11,13,5,0
533949,T20,17,14,4,123,21,12.3,135,91.11,0,0,5,4,2,0
974175,ODI,21,11,7,14,6*,3.5,42,33.33,0,0,2,0,1,0
974175,T20I,24,3,2,1,1*,1,4,25,0,0,0,0,3,0
974175,First-Class,12,18,9,48,17,5.33,119,40.33,0,0,6,3,8,0
974175,List A,27,14,8,22,7,3.66,56,39.28,0,0,2,1,1,0
974175,T20,56,11,7,5,2*,1.25,24,20.83,0,0,0,0,10,0
352048,ODI,79,68,8,1207,82*,20.11,1625,74.27,0,5,99,29,22,0
352048,T20I,57,47,13,615,56*,18.08,517,118.95,0,1,45,27,22,0
352048,First-Class,5,7,1,313,88*,52.16,379,82.58,0,3,39,6,6,0
352048,List A,122,105,14,2172,100,23.86,2640,82.27,1,9,175,65,35,0
352048,T20,115,97,28,1406,91,20.37,1066,131.89,0,5,100,69,44,0
1364162,List A,2,1,1,0,0*,,1,0,0,0,0,0,1,0
307654,First-Class,27,44,4,1585,142,39.62,2930,54.09,2,13,196,22,60,13
307654,List A,16,15,5,273,61*,27.3,458,59.6,0,1,23,1,12,2
307654,T20,10,8,2,93,26,15.5,124,75,0,0,4,4,3,0
311427,ODI,38,22,6,107,17,6.68,195,54.87,0,0,10,3,5,0
311427,T20I,25,9,6,50,22,16.66,46,108.69,0,0,3,2,3,0
311427,First-Class,15,20,7,65,26,5,183,35.51,0,0,6,3,5,0
311427,List A,55,29,9,145,22,7.25,234,61.96,0,0,12,5,9,0
311427,T20,54,22,8,83,22,5.92,91,91.2,0,0,6,2,7,0
1364155,List A,5,5,0,100,67,20,139,71.94,0,1,10,2,2,0
440970,Tests,6,12,5,375,200*,53.57,833,45.01,1,1,46,1,2,0
440970,ODI,64,64,9,1775,97*,32.27,2652,66.93,0,16,156,10,15,0
440970,T20I,6,4,2,48,36,24,55,87.27,0,0,5,0,1,0
440970,First-Class,24,43,7,1610,200*,44.72,3077,52.32,6,4,227,6,16,0
440970,List A,87,86,11,2489,124,33.18,3705,67.17,1,20,207,16,20,0
440970,T20,45,42,12,1281,97*,42.7,1046,122.46,0,11,133,34,11,0
320281,ODI,2,1,1,23,23*,,11,209.09,0,0,2,1,0,0
320281,List A,6,4,1,54,23*,18,48,112.5,0,0,6,1,0,0
793457,ODI,16,16,0,361,67,22.56,409,88.26,0,2,38,17,3,0
793457,T20I,38,38,3,1007,162*,28.77,756,133.2,1,3,97,57,5,0
