id,long_name,gender,image_url,headshot_image_url,dob,dod,country_team_id
1076533,Abdul Hadi,M,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/341000/341056.4.jpg,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/347800/347818.png,2005-03-22,,40
1059030,Abdul Malik,M,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/363300/363335.1.png,,1998-03-11,,40
524045,Abdul Naseri,M,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/148100/148131.1.jpg,,1994-09-09,,40
819507,Abdul Rahman,M,,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/334900/334996.png,2001-11-22,,40
974173,Abdul Wasi,M,,,2002-07-06,,40
533954,Abdullah Adil,M,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/179000/179095.1.jpg,,1994-02-07,,40
390752,Abdullah Mazari,M,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/303200/303256.jpg,,1987-01-01,,40
976467,Abdullah Naib,M,,,2001-05-31,,40
1176739,Abdullah Tarakhail,M,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/327200/327242.1.jpg,,2000-12-05,,40
1161047,Abid Mohammadi,M,,,2002-12-31,,40
1176740,Abidullah Taniwal,M,,,2002-01-23,,40
420402,Afsar Zazai,M,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/303200/303258.jpg,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/316600/316682.png,1993-08-10,,40
440963,Aftab Alam,M,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/185500/185547.1.jpg,https://img1.hscicdn.com/image/upload/lsci/db/PICTURES/CMS/316600/316686.png,1992-11-30,,40
976411,Ahmad Zahir,M,,,2001-03-25,,40
318337,Ahmed Shah,M,,,1983-10-20,,40
1364158,Akram Mohammadzai,M,,,2006-03-25,,40
1108510,Ali Ahmad,M,,,2005-03-21,,40
